Vendor,Address,Avg Cost/Gal,Avg Diff from mean,% diff from mean,total sum,total diff sum,transactions
S and P United Inc.,1005 Purnell Dr Mahomet Illinois,2.31083333333333,-0.039166666666667,1.66666666666666,27.73,-0.470000000000001,12
Thorntons #0385 Q,101 Burwash Ave Savoy Illinois,2.24666666666667,-0.103333333333334,4.39716312056738,6.74,-0.31,3
Thorntons #0386,101 S Mattis Ave Champaign Illinois,2.21,-0.14,5.95744680851064,8.84,-0.560000000000001,4
Murphy 7275 Atwalmrt,110 Shigh Cross Rd Urbana Illinois,2.29592592592593,-0.054074074074074,2.301024428684,61.99,-1.46,27
Mac's Convenience Sto,1101 N Prospect Ave Champaign Illinois,2.425,0.075,-3.19148936170212,4.85,0.15,2
Circle K #1430,1295 E Grove Ave Rantoul Illinois,2.38,0.03,-1.27659574468084,2.38,0.03,1
Mac's Convenience Sto,1301 S Neil St Champaign Illinois,2.25428571428571,-0.095714285714286,4.07294832826747,15.78,-0.67,7
Mac's Convenienc Stor.,1501 N Lincoln Ave Urbana Illinois,2.33723076923077,-0.012769230769231,0.543371522094893,151.92,-0.830000000000004,65
Circle K #1406,1503 N Neil St Champaign Illinois,2.375,0.025,-1.06382978723404,4.75,0.05,2
Urbana Farmtown,1509 E University Ave Urbana Illinois,2.41262183235865,0.062621832358675,-2.66475882377247,2475.34999999998,64.2500000000003,1026
Circle K #1442,1511 N Prospect Ave Champaign Illinois,2.304,-0.046,1.95744680851065,11.52,-0.23,5
Circle K #1399,1601 W Springfield Ave Champaign Illinois,2.43,0.08,-3.40425531914894,7.29,0.24,3
Mac's Convenience Sto,1605 N Cunningham Ave Urbana Illinois,2.33581395348837,-0.014186046511628,0.603661553686294,100.44,-0.610000000000005,43
Omsai LLC,1701 Philo Rd Urbana Illinois,2.35233333333333,0.002333333333333,-0.099290780141776,282.28,0.279999999999994,120
Mac's Convenience Sto,1713 W John St Champaign Illinois,2.49,0.14,-5.95744680851064,2.49,0.14,1
Mac's Convenienc Stor.,1809 N Cunningham Ave Urbana Illinois,2.28217194570136,-0.067828054298643,2.88630018292105,504.36,-14.99,221
BP 8617102,1821 Philo Rd Urbana Illinois,2.29555555555556,-0.054444444444445,2.31678486997636,165.28,-3.92,72
Circle K # 01301,2011 N Lincoln Ave Urbana Illinois,2.35034482758621,0.000344827586207,-0.014673514306672,272.64,0.039999999999991,116
Haymakers 715,202 Devonshire Dr Champaign Illinois,2.28571428571429,-0.064285714285714,2.7355623100304,48,-1.35,21
Minitmart Mahomet #7,203 N Lombard St Mahomet Illinois,2.31166666666667,-0.038333333333334,1.63120567375886,83.22,-1.38,36
Caseys Gen. Store 323,2100 E University Ave Urbana Illinois,2.37246575342466,0.022465753424658,-0.955989507432395,1212.33,11.48,511
Meijer 146,2201 N Prspect Ave Champaign Illinois,2.45,0.1,-4.25531914893617,2.45,0.1,1
Mac's Convenience Sto,2315 W Springfield Ave Champaign Illinois,2.14,-0.21,8.93617021276597,8.56,-0.840000000000001,4
Meijer 247,2500 Philo Rd Urbana Illinois,2.37910958904109,0.029109589041096,-1.23870591664221,1042.05,12.7499999999999,438
Murphy 7231 Atwalmrt,2602 N Prospect Ave Champaign Illinois,2.31,-0.04,1.70212765957447,6.93,-0.12,3
BP 8608770,301 S Murray Rd Rantoul Illinois,2.24,-0.11,4.68085106382978,2.24,-0.11,1
Shell Service Statio,303 E Warren St Saint Joseph Illinois,2.28588235294118,-0.064117647058824,2.72841051314144,38.86,-1.09,17
Schnuck Experess,306 E Main St Urbana Illinois,2.3304845814978,-0.019515418502203,0.830443340519326,1058.04,-8.86,454
Circle K #1438,3604 N Mattis Ave Champaign Illinois,2.225,-0.125,5.31914893617023,22.25,-1.25,10
Caseys Gen. Store 177,401 E Warren St Saint Joseph Illinois,2.6,0.25,-10.6382978723404,5.2,0.5,2
Circle K #1400,407A N Dunlap Ave Savoy Illinois,2.30379746835443,-0.04620253164557,1.96606517640719,182,-3.65000000000001,79
Caseys Gen. Store 166,408 N Lincoln St Philo Illinois,2.42571428571429,0.075714285714286,-3.22188449848024,33.96,1.06,14
Circle K #1443,4202 W Springfield Ave Champaign Illinois,2.48,0.13,-5.53191489361702,12.4,0.65,5
Road Ranger 132,4910 N Market St Champaign Illinois,2.66,0.31,-13.1914893617021,2.66,0.31,1
Caseys Gen. Store 149,500 W Central Ave Thomasboro Illinois,2.06,-0.29,12.3404255319149,2.06,-0.29,1
Caseys Gen. Store 255,501 N Long St Tolono Illinois,2.18333333333333,-0.166666666666667,7.09219858156028,6.55,-0.5,3
Caseys Gen. Store 222,502 N Main St Homer Illinois,2.3058,-0.0442,1.88085106382979,115.29,-2.21,50
Caseys Gen. Store 203,502 W Main St Sidney Illinois,2.45,0.1,-4.25531914893616,14.7,0.599999999999999,6
Circle K #1432,506 S Prairie View Rd R Mahomet Illinois,2.33333333333333,-0.016666666666667,0.709219858156026,7,-0.050000000000001,3
Circle K #1413,507 W University Ave Urbana Illinois,2.33355648535565,-0.016443514644351,0.699724027418998,3346.32000000001,-23.5799999999998,1434
SZBD Inc.,508 S Vine St Urbana Illinois,2.36658935879946,0.016589358799454,-0.705930161679305,1734.71000000001,12.1599999999999,733
Murphy 6724 Atwalmrt,511 S Dunlap Ave Savoy Illinois,2.23739130434783,-0.112608695652174,4.79185938945423,51.46,-2.59,23
Circle K #1403,59 E Green St Champaign Illinois,2.285,-0.065,2.76595744680851,4.57,-0.13,2
Circle K #1401,602 E Oak St Mahomet Illinois,2.41366666666667,0.063666666666667,-2.70921985815601,72.41,1.91,30
Mac's Convenience Sto,609 E University Ave Champaign Illinois,2.27266666666667,-0.077333333333334,3.29078014184397,34.09,-1.16,15
Mac's Convenience Sto,809 W Green St Urbana Illinois,2.29436363636364,-0.055636363636364,2.36750483558992,252.38,-6.12000000000001,110
Circle K #1434,810 W Green St Urbana Illinois,2.28953982300885,-0.060460176991151,2.57277348898498,1293.59,-34.16,565
Sunrise Business Inc.,872 County Road 1000 N Champaign Illinois,2.46,0.11,-4.68085106382978,2.46,0.11,1
Mach. 1 Food Shop 19,902 W Bloomington Rd Champaign Illinois,0,0,100,0,0,0
nan,nan nan Illinois,0,0,100,0,0,0
